h,u
5.0,3.7389793395996094
15.0,5.7378668785095215
25.0,6.228425979614258
35.0,6.739289283752441
45.0,7.047123432159424
55.0,7.337871074676514
65.0,7.553436756134033
75.0,7.752508163452148
85.0,7.917771339416504
95.0,8.0689058303833
105.0,8.2013521194458
115.0,8.326578140258789
125.0,8.441798210144043
135.0,8.551743507385254
145.0,8.653951644897461
155.0,8.755658149719238
165.0,8.852745056152344
175.0,8.943449974060059
185.0,9.027589797973633
195.0,9.109134674072266
205.0,9.1842041015625
215.0,9.25760269165039
225.0,9.325432777404785
235.0,9.391562461853027
245.0,9.45506763458252
255.0,9.516971588134766
265.0,9.575849533081055
275.0,9.633366584777832
285.0,9.689382553100586
295.0,9.743436813354492
