Height (m),Speed (m/s) zref=90.0 uref=7.95 shear=0.175 ground=0.0
1.0,3.620943113986829
2.0,4.087358075279815
3.0,4.387569293289503
4.0,4.613852112457098
5.0,4.797376938730293
6.0,4.952733643481877
7.0,5.088004426018241
8.0,5.208164032500995
9.0,5.316505589125631
10.0,5.415328756460477
11.0,5.506306700220453
12.0,5.590697013217232
13.0,5.669470256269251
14.0,5.743392073024636
15.0,5.813077720940079
16.0,5.8790294808542685
17.0,5.941663040663949
18.0,6.00132655164987
19.0,6.058314681127527
20.0,6.112879166069727
21.0,6.165236868120518
22.0,6.215576010895399
23.0,6.264061072734849
24.0,6.3108366699127645
25.0,6.356030671501169
26.0,6.399756722222048
27.0,6.442116303994077
28.0,6.4832004343000875
29.0,6.523091075903969
30.0,6.561862315133858
31.0,6.5995813530957905
32.0,6.636309344534265
33.0,6.672102111739882
34.0,6.707010755302837
35.0,6.741082179184534
36.0,6.774359544209754
37.0,6.806882661436787
38.0,6.838688334771483
39.0,6.869810660526056
40.0,6.900281290289203
41.0,6.930129662398281
42.0,6.9593832064319185
43.0,6.98806752443008
44.0,7.016206551965516
45.0,7.043822701710301
46.0,7.070936991743598
47.0,7.097569160516442
48.0,7.123737770113375
49.0,7.149460299219538
50.0,7.174753227007197
51.0,7.199632108991233
52.0,7.224111645763822
53.0,7.248205745399873
54.0,7.271927580223711
55.0,7.29528963854078
56.0,7.3183037718638015
57.0,7.340981238098735
58.0,7.363332741100547
59.0,7.385368466960887
60.0,7.407098117348175
61.0,7.428530940184341
62.0,7.4496757579109225
63.0,7.470540993569533
64.0,7.491134694897527
65.0,7.511464556618374
66.0,7.531537941087552
67.0,7.551361897438212
68.0,7.5709431793562665
69.0,7.590288261601642
70.0,7.6094033553809055
71.0,7.62829442266633
72.0,7.646967189547333
73.0,7.665427158692142
74.0,7.683679620990316
75.0,7.701729666440219
76.0,7.719582194339816
77.0,7.737241922833881
78.0,7.754713397866065
79.0,7.772001001580031
80.0,7.789108960210079
81.0,7.806041351498264
82.0,7.8228021116718445
83.0,7.8393950420122005
84.0,7.855823815043703
85.0,7.872091980368798
86.0,7.888202970173424
87.0,7.904160104424978
88.0,7.919966595783342
89.0,7.93562555424386
90.0,7.951139991529733
91.0,7.966512825249991
92.0,7.981746882837963
93.0,7.996844905284089
94.0,8.011809550675913
95.0,8.02664339755714
96.0,8.041348948116791
97.0,8.055928631218775
98.0,8.070384805281346
99.0,8.0847197610154
100.0,8.098935724029838
101.0,8.113034857311742
102.0,8.12701926358852
103.0,8.140890987578754
104.0,8.154652018138034
105.0,8.168304290305604
106.0,8.18184968725733
107.0,8.195290042170102
108.0,8.208627140002482
109.0,8.221862719196093
110.0,8.23499847330197
111.0,8.248036052535845
112.0,8.260977065266053
113.0,8.273823079437584
114.0,8.286575623935533
115.0,8.299236189891056
116.0,8.311806231932714
117.0,8.324287169385958
118.0,8.33668038742331
119.0,8.348987238167679
120.0,8.361209041751078
121.0,8.373347087330943
122.0,8.385402634066033
123.0,8.39737691205387
124.0,8.409271123231528
125.0,8.421086442241478
126.0,8.432824017264137
127.0,8.444484970818603
128.0,8.456070400533108
129.0,8.46758137988647
130.0,8.479018958921955
131.0,8.490384164934675
132.0,8.50167800313377
133.0,8.512901457280465
134.0,8.524055490303029
135.0,8.535141044889675
136.0,8.54615904406032
137.0,8.557110391718124
138.0,8.567995973181674
139.0,8.578816655698589
140.0,8.589573288941374
141.0,8.600266705486213
142.0,8.610897721275444
143.0,8.621467136064348
144.0,8.631975733852904
145.0,8.642424283303145
146.0,8.652813538142622
147.0,8.663144237554606
148.0,8.673417106555505
149.0,8.683632856359996
150.0,8.693792184734402
151.0,8.703895776338689
152.0,8.713944303057586
153.0,8.723938424321233
154.0,8.73387878741572
155.0,8.743766027783934
156.0,8.753600769317066
157.0,8.763383624637116
158.0,8.773115195370755
159.0,8.782796072414827
160.0,8.792426836193824
161.0,8.802008056909619
162.0,8.811540294783722
163.0,8.821024100292343
164.0,8.830460014394529
165.0,8.83984856875358
166.0,8.849190285952021
167.0,8.858485679700348
168.0,8.867735255039733
169.0,8.876939508538946
170.0,8.886098928485657
171.0,8.895213995072314
172.0,8.904285180576808
173.0,8.913312949538067
174.0,8.922297758926762
175.0,8.931240058311303
176.0,8.940140290019254
177.0,8.948998889294348
178.0,8.957816284449223
179.0,8.96659289701402
180.0,8.975329141881003
181.0,8.984025427445294
182.0,8.992682155741873
183.0,9.001299722578953
184.0,9.009878517667843
185.0,9.018418924749422
186.0,9.026921321717305
187.0,9.035386080737842
188.0,9.043813568367
189.0,9.05220414566429
190.0,9.06055816830375
191.0,9.06887598668215
192.0,9.077157946024437
193.0,9.085404386486577
194.0,9.09361564325578
195.0,9.101792046648294
196.0,9.109933922204727
197.0,9.118041590783074
198.0,9.126115368649447
199.0,9.134155567566602
200.0,9.142162494880317
201.0,9.15013645360372
202.0,9.158077742499547
203.0,9.165986656160488
204.0,9.1738634850876
205.0,9.181708515766866
206.0,9.189522030743984
207.0,9.197304308697365
208.0,9.20505562450948
209.0,9.21277624933651
210.0,9.220466450676422
211.0,9.22812649243548
212.0,9.235756634993223
213.0,9.243357135265978
214.0,9.250928246768936
215.0,9.258470219676832
216.0,9.265983300883263
217.0,9.273467734058682
218.0,9.28092375970711
219.0,9.288351615221586
220.0,9.295751534938416
221.0,9.303123750190212
222.0,9.310468489357788
223.0,9.317785977920925
224.0,9.32507643850805
225.0,9.33234009094483
226.0,9.339577152301743
227.0,9.346787836940614
228.0,9.35397235656019
229.0,9.361130920240733
230.0,9.368263734487677
231.0,9.375371003274383
232.0,9.382452928083985
