10	0	22785.000000	0.500000	1870958.375000
10	1	22785.000000	0.500000	1978708.375000
10	2	22785.000000	0.500000	1676735.375000
10	3	22785.000000	0.500000	1100565.625000
10	4	22785.000000	0.500000	1523838.125000
10	5	22785.000000	0.500000	1545492.000000
10	6	22785.000000	0.500000	1250695.625000	
10	7	22785.000000	0.500000	1239857.500000	
10	8	22785.000000	0.500000	2169931.500000	
10	9	22785.000000	0.500000	1932523.500000	
10	10	22785.000000	0.500000	1647579.000000
10	11	22785.000000	0.500000	1784373.000000	
10	12	22785.000000	0.500000	1721477.000000	
10	13	22785.000000	0.500000	1068463.875000	
10	14	22785.000000	0.500000	1389881.000000	
10	15	22785.000000	0.500000	1179746.875000	
10	16	22785.000000	0.500000	984248.000000	
10	17	22785.000000	0.500000	1648564.125000	
10	18	22785.000000	0.500000	861031.375000	
10	19	22785.000000	0.500000	2010994.250000	
10	20	22785.000000	0.500000	1745412.625000	
10	21	22785.000000	0.500000	2004313.625000	
10	22	22785.000000	0.500000	1987843.875000	
10	23	22785.000000	0.500000	2101973.500000	
10	24	22785.000000	0.500000	1574825.375000	
10	25	22785.000000	0.500000	1784424.500000	
10	26	22785.000000	0.500000	2045300.375000	
10	27	22785.000000	0.500000	1584430.375000	
10	28	22785.000000	0.500000	1620910.375000	
10	29	22785.000000	0.500000	900126.625000	
10	30	22785.000000	0.500000	1213862.125000	
10	31	22785.000000	0.500000	827199.125000	
10	32	22785.000000	0.500000	696678.750000	
10	33	22785.000000	0.500000	673468.812500	
10	34	22785.000000	0.500000	580761.687500	
10	35	22785.000000	0.500000	870402.062500	
10	36	22785.000000	0.500000	1207845.250000	
10	37	22785.000000	0.500000	570111.375000	
40	0	26149.500000	0.500000	1798552.125000	
40	1	26149.500000	0.500000	1459235.625000	
40	2	26149.500000	0.500000	1498622.500000	
40	3	26149.500000	0.500000	2133937.750000	
40	4	26149.500000	0.500000	1552336.375000	
40	5	26149.500000	0.500000	1854701.750000	
40	6	26149.500000	0.500000	1990694.125000	
40	7	26149.500000	0.500000	761104.125000	
40	8	26149.500000	0.500000	656286.750000	
40	9	26149.500000	0.500000	679690.437500	
40	10	26149.500000	0.500000	725896.562500	
40	11	26149.500000	0.500000	1883842.000000	
40	12	26149.500000	0.500000	798126.500000	
40	13	26149.500000	0.500000	1809908.625000	
40	14	26149.500000	0.500000	799219.125000	
40	15	26149.500000	0.500000	1815126.250000	
40	16	26149.500000	0.500000	1634132.625000	
40	17	26149.500000	0.500000	858065.937500	
40	18	26149.500000	0.500000	1601233.625000	
40	19	26149.500000	0.500000	2155446.750000	
40	20	26149.500000	0.500000	1780450.375000	
40	21	26149.500000	0.500000	1758984.750000	
40	22	26149.500000	0.500000	1882654.750000	
40	23	26149.500000	0.500000	2086072.500000	
40	24	26149.500000	0.500000	1646720.625000	
40	25	26149.500000	0.500000	1825830.875000	
40	26	26149.500000	0.500000	1872075.375000	
40	27	26149.500000	0.500000	827317.437500	
40	28	26149.500000	0.500000	1680839.250000	
40	29	26149.500000	0.500000	613432.875000	
40	30	26149.500000	0.500000	1459996.875000	
40	31	26149.500000	0.500000	1510198.875000	
40	32	26149.500000	0.500000	1343368.375000	
40	33	26149.500000	0.500000	1249700.500000	
40	34	26149.500000	0.500000	1353328.500000	
40	35	26149.500000	0.500000	1078038.500000	
40	36	26149.500000	0.500000	1793963.125000	
40	37	26149.500000	0.500000	1789655.500000	
70	0	22000.000000	0.500000	1277113.000000	
70	1	22000.000000	0.500000	1963353.875000	
70	2	22000.000000	0.500000	2025698.375000	
70	3	22000.000000	0.500000	1331596.250000	
70	4	22000.000000	0.500000	1228229.250000	
70	5	22000.000000	0.500000	1340236.375000	
70	6	22000.000000	0.500000	1096601.125000	
70	7	22000.000000	0.500000	1939414.750000	
70	8	22000.000000	0.500000	2017352.625000	
70	9	22000.000000	0.500000	1814735.750000	
70	10	22000.000000	0.500000	1235738.000000	
70	11	22000.000000	0.500000	899322.062500	
70	12	22000.000000	0.500000	1746009.875000	
70	13	22000.000000	0.500000	1466321.250000	
70	14	22000.000000	0.500000	1200120.125000	
70	15	22000.000000	0.500000	1740642.250000	
70	16	22000.000000	0.500000	1025280.250000	
70	17	22000.000000	0.500000	1220985.250000	
70	18	22000.000000	0.500000	2195127.500000	
70	19	22000.000000	0.500000	1807471.125000	
70	20	22000.000000	0.500000	2050634.000000	
70	21	22000.000000	0.500000	1843115.500000	
70	22	22000.000000	0.500000	1695216.625000	
70	23	22000.000000	0.500000	2116196.250000	
70	24	22000.000000	0.500000	2123143.500000	
70	25	22000.000000	0.500000	1200376.750000	
70	26	22000.000000	0.500000	1107357.250000	
70	27	22000.000000	0.500000	1584751.750000	
70	28	22000.000000	0.500000	621331.125000	
70	29	22000.000000	0.500000	981771.250000	
70	30	22000.000000	0.500000	651182.437500	
70	31	22000.000000	0.500000	822550.312500	
70	32	22000.000000	0.500000	1907374.125000	
70	33	22000.000000	0.500000	1679079.000000	
70	34	22000.000000	0.500000	761425.875000	
70	35	22000.000000	0.500000	2048517.750000	
70	36	22000.000000	0.500000	1479776.250000	
70	37	22000.000000	0.500000	1726283.625000	
100	0	21434.000000	0.500000	1749530.125000	
100	1	21434.000000	0.500000	2099920.000000	
100	2	21434.000000	0.500000	1688135.375000	
100	3	21434.000000	0.500000	1765095.125000	
100	4	21434.000000	0.500000	1739911.125000	
100	5	21434.000000	0.500000	1921506.750000	
100	6	21434.000000	0.500000	1043255.437500	
100	7	21434.000000	0.500000	1455838.250000	
100	8	21434.000000	0.500000	1254693.250000	
100	9	21434.000000	0.500000	1748827.625000	
100	10	21434.000000	0.500000	1187985.875000	
100	11	21434.000000	0.500000	1430850.000000	
100	12	21434.000000	0.500000	941615.187500	
100	13	21434.000000	0.500000	1350272.625000	
100	14	21434.000000	0.500000	1504952.625000	
100	15	21434.000000	0.500000	1354562.250000	
100	16	21434.000000	0.500000	2305311.000000	
100	17	21434.000000	0.500000	1756540.375000	
100	18	21434.000000	0.500000	2104078.750000	
100	19	21434.000000	0.500000	2090236.125000	
100	20	21434.000000	0.500000	1593886.250000	
100	21	21434.000000	0.500000	2246410.000000	
100	22	21434.000000	0.500000	2047835.250000	
100	23	21434.000000	0.500000	1576077.625000	
100	24	21434.000000	0.500000	993164.250000	
100	25	21434.000000	0.500000	1685272.125000	
100	26	21434.000000	0.500000	1635732.750000	
100	27	21434.000000	0.500000	1074345.625000	
100	28	21434.000000	0.500000	743879.750000	
100	29	21434.000000	0.500000	1393370.000000	
100	30	21434.000000	0.500000	1205712.250000	
100	31	21434.000000	0.500000	1763137.000000	
100	32	21434.000000	0.500000	932572.875000	
100	33	21434.000000	0.500000	2120413.000000	
100	34	21434.000000	0.500000	1512052.875000	
100	35	21434.000000	0.500000	1830603.500000	
100	36	21434.000000	0.500000	2053726.500000	
100	37	21434.000000	0.500000	1954526.125000	
130	0	25732.000000	0.500000	1566018.750000	
130	1	25732.000000	0.500000	1985167.125000	
130	2	25732.000000	0.500000	1425649.250000	
130	3	25732.000000	0.500000	1341436.500000	
130	4	25732.000000	0.500000	1239573.250000	
130	5	25732.000000	0.500000	1370386.375000	
130	6	25732.000000	0.500000	1831601.625000	
130	7	25732.000000	0.500000	1848582.125000	
130	8	25732.000000	0.500000	637211.062500	
130	9	25732.000000	0.500000	621151.250000	
130	10	25732.000000	0.500000	1492188.750000	
130	11	25732.000000	0.500000	1216128.500000	
130	12	25732.000000	0.500000	1083488.250000	
130	13	25732.000000	0.500000	1889693.500000	
130	14	25732.000000	0.500000	819037.000000	
130	15	25732.000000	0.500000	2122363.250000	
130	16	25732.000000	0.500000	1777622.500000	
130	17	25732.000000	0.500000	1881429.750000	
130	18	25732.000000	0.500000	1985196.875000	
130	19	25732.000000	0.500000	1767481.250000	
130	20	25732.000000	0.500000	1944389.000000	
130	21	25732.000000	0.500000	2034985.375000	
130	22	25732.000000	0.500000	852235.750000	
130	23	25732.000000	0.500000	1540768.250000	
130	24	25732.000000	0.500000	1018136.937500	
130	25	25732.000000	0.500000	1358641.625000	
130	26	25732.000000	0.500000	1058404.250000	
130	27	25732.000000	0.500000	1172085.750000	
130	28	25732.000000	0.500000	1284780.500000	
130	29	25732.000000	0.500000	1790553.375000	
130	30	25732.000000	0.500000	1638748.125000	
130	31	25732.000000	0.500000	1229121.000000	
130	32	25732.000000	0.500000	2035624.250000	
130	33	25732.000000	0.500000	1949375.625000	
130	34	25732.000000	0.500000	1418234.000000	
130	35	25732.000000	0.500000	1906427.875000	
130	36	25732.000000	0.500000	1924424.750000	
130	37	25732.000000	0.500000	1435393.625000	
160	0	23442.000000	0.500000	1954101.625000	
160	1	23442.000000	0.500000	2013649.000000	
160	2	23442.000000	0.500000	1490276.625000	
160	3	23442.000000	0.500000	1490713.000000	
160	4	23442.000000	0.500000	1835548.750000	
160	5	23442.000000	0.500000	840832.625000	
160	6	23442.000000	0.500000	2007190.625000	
160	7	23442.000000	0.500000	2050170.250000	
160	8	23442.000000	0.500000	1197654.500000	
160	9	23442.000000	0.500000	1113913.000000	
160	10	23442.000000	0.500000	758205.812500	
160	11	23442.000000	0.500000	982043.000000	
160	12	23442.000000	0.500000	1462802.625000	
160	13	23442.000000	0.500000	1399869.500000	
160	14	23442.000000	0.500000	1377235.875000	
160	15	23442.000000	0.500000	2126574.500000	
160	16	23442.000000	0.500000	1908728.500000	
160	17	23442.000000	0.500000	1471650.125000	
160	18	23442.000000	0.500000	1536928.625000	
160	19	23442.000000	0.500000	2007545.875000	
160	20	23442.000000	0.500000	1712466.125000	
160	21	23442.000000	0.500000	751932.687500	
160	22	23442.000000	0.500000	1612484.250000	
160	23	23442.000000	0.500000	892287.562500	
160	24	23442.000000	0.500000	520462.156250	
160	25	23442.000000	0.500000	692752.312500	
160	26	23442.000000	0.500000	1434430.375000	
160	27	23442.000000	0.500000	866708.812500	
160	28	23442.000000	0.500000	1398747.625000	
160	29	23442.000000	0.500000	730664.687500	
160	30	23442.000000	0.500000	2023205.875000	
160	31	23442.000000	0.500000	1560250.625000	
160	32	23442.000000	0.500000	2122848.000000	
160	33	23442.000000	0.500000	1751246.375000	
160	34	23442.000000	0.500000	2126329.500000	
160	35	23442.000000	0.500000	1791943.375000	
160	36	23442.000000	0.500000	1875537.625000	
160	37	23442.000000	0.500000	2050817.000000	
190	0	23009.000000	0.500000	2105541.250000	
190	1	23009.000000	0.500000	1899954.125000	
190	2	23009.000000	0.500000	983574.125000	
190	3	23009.000000	0.500000	1488005.625000	
190	4	23009.000000	0.500000	1895227.625000	
190	5	23009.000000	0.500000	2056466.875000	
190	6	23009.000000	0.500000	1718325.125000	
190	7	23009.000000	0.500000	624846.062500	
190	8	23009.000000	0.500000	1466814.875000	
190	9	23009.000000	0.500000	1563102.375000	
190	10	23009.000000	0.500000	1227676.500000	
190	11	23009.000000	0.500000	2037434.000000	
190	12	23009.000000	0.500000	1042384.750000	
190	13	23009.000000	0.500000	1853257.750000	
190	14	23009.000000	0.500000	1332500.250000	
190	15	23009.000000	0.500000	597698.625000	
190	16	23009.000000	0.500000	711772.937500	
190	17	23009.000000	0.500000	780678.437500	
190	18	23009.000000	0.500000	1821817.125000	
190	19	23009.000000	0.500000	467168.750000	
190	20	23009.000000	0.500000	1407906.375000	
190	21	23009.000000	0.500000	772387.875000	
190	22	23009.000000	0.500000	1516402.250000	
190	23	23009.000000	0.500000	1578799.250000	
190	24	23009.000000	0.500000	1084208.125000	
190	25	23009.000000	0.500000	1092630.375000	
190	26	23009.000000	0.500000	1308000.000000	
190	27	23009.000000	0.500000	732385.312500	
190	28	23009.000000	0.500000	1354704.625000	
190	29	23009.000000	0.500000	1702991.625000	
190	30	23009.000000	0.500000	2092721.750000	
190	31	23009.000000	0.500000	1488656.625000	
190	32	23009.000000	0.500000	1821331.375000	
190	33	23009.000000	0.500000	1916446.625000	
190	34	23009.000000	0.500000	1629812.750000	
190	35	23009.000000	0.500000	1582104.000000	
190	36	23009.000000	0.500000	1641706.500000	
190	37	23009.000000	0.500000	1673243.125000	
220	0	23651.000000	0.500000	1521370.750000	
220	1	23651.000000	0.500000	1438525.000000	
220	2	23651.000000	0.500000	976446.812500	
220	3	23651.000000	0.500000	1687536.625000	
220	4	23651.000000	0.500000	991947.312500	
220	5	23651.000000	0.500000	1421688.250000	
220	6	23651.000000	0.500000	1482019.500000	
220	7	23651.000000	0.500000	1587175.750000	
220	8	23651.000000	0.500000	957542.312500	
220	9	23651.000000	0.500000	1876467.750000	
220	10	23651.000000	0.500000	1980982.375000	
220	11	23651.000000	0.500000	1056941.875000	
220	12	23651.000000	0.500000	911753.250000	
220	13	23651.000000	0.500000	1876606.250000	
220	14	23651.000000	0.500000	1844727.125000	
220	15	23651.000000	0.500000	1770445.250000	
220	16	23651.000000	0.500000	1832043.625000	
220	17	23651.000000	0.500000	1333655.250000	
220	18	23651.000000	0.500000	1113003.750000	
220	19	23651.000000	0.500000	2022674.250000	
220	20	23651.000000	0.500000	757495.812500	
220	21	23651.000000	0.500000	1028683.687500	
220	22	23651.000000	0.500000	555547.312500	
220	23	23651.000000	0.500000	644914.875000	
220	24	23651.000000	0.500000	1489070.625000	
220	25	23651.000000	0.500000	1053195.625000	
220	26	23651.000000	0.500000	602581.562500	
220	27	23651.000000	0.500000	1659432.000000	
220	28	23651.000000	0.500000	1962092.625000	
220	29	23651.000000	0.500000	1737786.375000	
220	30	23651.000000	0.500000	1973739.125000	
220	31	23651.000000	0.500000	1846071.250000	
220	32	23651.000000	0.500000	1997991.250000	
220	33	23651.000000	0.500000	1816328.750000	
220	34	23651.000000	0.500000	1539395.875000	
220	35	23651.000000	0.500000	1742801.000000	
220	36	23651.000000	0.500000	1144917.500000	
220	37	23651.000000	0.500000	1541261.625000	
250	0	22808.500000	0.500000	1940842.000000	
250	1	22808.500000	0.500000	1155976.375000	
250	2	22808.500000	0.500000	941139.812500	
250	3	22808.500000	0.500000	2168246.750000	
250	4	22808.500000	0.500000	1625350.250000	
250	5	22808.500000	0.500000	1853218.875000	
250	6	22808.500000	0.500000	1697421.375000	
250	7	22808.500000	0.500000	1495068.500000	
250	8	22808.500000	0.500000	1424816.125000	
250	9	22808.500000	0.500000	1864844.500000	
250	10	22808.500000	0.500000	1391367.875000	
250	11	22808.500000	0.500000	1897986.250000	
250	12	22808.500000	0.500000	1145585.375000	
250	13	22808.500000	0.500000	1293301.375000	
250	14	22808.500000	0.500000	1488246.500000	
250	15	22808.500000	0.500000	1143443.375000	
250	16	22808.500000	0.500000	1986376.125000	
250	17	22808.500000	0.500000	950333.250000	
250	18	22808.500000	0.500000	1560736.125000	
250	19	22808.500000	0.500000	1313286.000000	
250	20	22808.500000	0.500000	1264227.375000	
250	21	22808.500000	0.500000	1317077.625000	
250	22	22808.500000	0.500000	1465403.375000	
250	23	22808.500000	0.500000	1726060.000000	
250	24	22808.500000	0.500000	749340.687500	
250	25	22808.500000	0.500000	1999785.875000	
250	26	22808.500000	0.500000	1807914.875000	
250	27	22808.500000	0.500000	2001861.125000	
